term,estimate,std.error,statistic,df,p.value
(Intercept),50.170731707317266,3.267163225349994,15.35605301811719,445.66986324182415,5.0866579065540225e-43
PhaseFinal,-6.353658536585467,3.7648929049177577,-1.687606712075721,248.00000053764632,0.09274395070704289
ConditionModeration,1.1469153515062425,4.5795162541348535,0.2504446513254955,445.6698632000503,0.802358914640167
ConditionPolarization,2.769744483158938,4.59288142234829,0.6030515984326889,445.66986320366806,0.5467811204802062
PhaseFinal:ConditionModeration,-26.32869440459095,5.277173824488336,-4.9891656557558495,248.00000054397128,1.1417627451976635e-6
PhaseFinal:ConditionPolarization,10.972706155633132,5.292575083473309,2.07322635627725,248.0000005304179,0.03918397537736494
