term,estimate,std.error,statistic,df,p.value
(Intercept),52.26315789473663,4.775201780830425,10.944701458384838,299.702932004462,1.1195556207755084e-23
PhaseFinal,-13.947368421052664,5.577194233911244,-2.5007858496747173,164.99999979387206,0.013367540324641975
ConditionPolarization,5.022556390977724,12.10734630676809,0.4148354448381542,299.7029319116416,0.678559158832895
ChoicePrior-consistent,-1.709966405374831,6.421733251896165,-0.2662780184570768,299.7029319500161,0.7902082001224255
PhaseFinal:ConditionPolarization,-2.7669172932328974,14.140768308712296,-0.195669516169653,164.99999987167936,0.8451096044350926
PhaseFinal:ChoicePrior-consistent,-33.882418812989854,7.5002597393827735,-4.517499392064811,164.9999997984061,1.1874331179718542e-5
ConditionPolarization:ChoicePrior-consistent,-3.0302933348849566,13.27694046107411,-0.22823732197709987,299.70293188377326,0.8196173910545024
PhaseFinal:ConditionPolarization:ChoicePrior-consistent,57.155146085716964,15.506795143347416,3.6858129328055993,164.9999998948099,3.089018402046162e-4
