Phase,Condition,emmean,SE,df,lower.CL,upper.CL
Initial,Control,50.170731707317266,3.267163225349995,445.6698637361891,43.74977203783845,56.591691376796085
Final,Control,43.8170731707318,3.267163225349994,445.66986373613133,37.396113501252984,50.23803284021062
Initial,Moderation,51.31764705882351,3.2089894952782183,445.66986373613133,45.01101628840789,57.624277829239134
Final,Moderation,18.635294117647096,3.2089894952782205,445.66986373613133,12.328663347231467,24.941924888062722
Initial,Polarization,52.940476190476204,3.228034110518767,445.66986373613133,46.59641701567861,59.2845353652738
Final,Polarization,57.559523809523874,3.2280341105187693,445.66986373613133,51.215464634726274,63.903582984321474
