Condition,CertaintyClass,n,CertaintyProportion,ci_lo,ci_hi
Control,Less,36,0.43902439024390244,0.32926829268292684,0.5487804878048781
Control,Equal,25,0.3048780487804878,0.2073170731707317,0.4024390243902439
Control,More,21,0.25609756097560976,0.15853658536585366,0.35365853658536583
Moderation,Less,56,0.6588235294117647,0.5529411764705883,0.7529411764705882
Moderation,Equal,15,0.17647058823529413,0.10588235294117647,0.25882352941176473
Moderation,More,14,0.16470588235294117,0.09411764705882353,0.24705882352941178
Polarization,Less,28,0.3333333333333333,0.23809523809523808,0.44047619047619047
Polarization,Equal,16,0.19047619047619047,0.10714285714285714,0.27380952380952384
Polarization,More,40,0.47619047619047616,0.36904761904761907,0.5833333333333334
